City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Srandakan,ID,-7.9386,110.2506,73.2,92,68,3.91,broken clouds
302,Anadyr,RU,64.75,177.4833,57.7,62,0,8.95,clear sky
303,Gulu,UG,2.7746,32.299,63.5,87,15,3.0,few clouds
304,Pisco,PE,-13.7,-76.2167,62.65,82,75,11.5,broken clouds
305,Bredasdorp,ZA,-34.5322,20.0403,43.92,81,98,6.91,overcast clouds
306,Nishihara,JP,26.1842,127.7558,81.68,92,90,28.77,light intensity shower rain
307,Taber,CA,49.8167,-112.1518,82.22,57,55,6.91,broken clouds
308,Imbituba,BR,-28.24,-48.6703,58.82,82,0,1.43,clear sky
309,Rayon,MX,19.1444,-99.5836,63.91,73,65,2.33,broken clouds
310,Zhicheng,CN,30.2956,111.5047,78.82,90,68,3.31,light rain
311,Urengoy,RU,65.9667,78.3667,64.67,77,100,19.04,overcast clouds
312,Mitu,CO,1.1983,-70.1733,72.72,97,81,2.35,broken clouds
313,Belen,TR,36.4891,36.2233,75.34,65,0,19.57,clear sky
314,Kota Bahru,MY,6.1333,102.2386,76.59,93,98,3.53,overcast clouds
315,Cayenne,GF,4.9333,-52.3333,83.08,79,20,5.01,few clouds
316,Yining,CN,29.0361,114.5636,78.33,85,75,1.45,broken clouds
317,Olafsvik,IS,64.8945,-23.7142,52.95,94,99,12.24,overcast clouds
318,Biak,ID,-0.9131,122.8766,74.61,90,100,7.43,overcast clouds
319,Adrar,MR,20.5022,-10.0711,90.19,9,28,14.88,scattered clouds
320,Saint-Paul,RE,-21.0096,55.2707,71.71,71,64,4.72,broken clouds
321,Auki,SB,-8.7676,160.7034,83.41,72,53,4.21,broken clouds
322,Jawhar,SO,2.7809,45.5005,73.9,90,46,12.33,scattered clouds
323,Husavik,IS,66.0449,-17.3389,60.71,76,4,4.34,clear sky
324,Moose Factory,CA,51.2585,-80.6094,66.2,63,90,4.61,overcast clouds
325,Sao Filipe,CV,14.8961,-24.4956,76.6,85,100,3.69,overcast clouds
326,Abha,SA,18.2164,42.5053,61.05,94,92,5.75,overcast clouds
327,Velyka Mykhaylivka,UA,47.0794,29.8514,64.02,82,100,20.27,light rain
328,Grado,ES,43.388,-6.0743,66.24,100,75,0.0,mist
329,Haines Junction,CA,60.7522,-137.5108,71.55,40,97,10.36,overcast clouds
330,Kuldur,RU,49.2167,131.6333,77.11,82,88,2.91,overcast clouds
331,Kaduna,NG,10.5222,7.4383,70.63,96,85,5.1,overcast clouds
332,Pankrushikha,RU,53.8319,80.3406,57.69,89,0,6.69,clear sky
333,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,64.99,82,20,6.71,few clouds
334,Sayyan,YE,15.1718,44.3244,58.53,86,99,7.16,overcast clouds
335,Clyde River,CA,70.4692,-68.5914,39.43,87,75,10.36,broken clouds
336,Tadine,NC,-21.55,167.8833,74.41,70,5,7.65,clear sky
337,Makhachkala,RU,42.9764,47.5024,77.02,53,25,7.94,scattered clouds
338,Antalaha,MG,-14.9003,50.2788,68.7,87,48,10.11,light rain
339,Almaznyy,RU,48.0448,40.045,68.14,83,23,5.21,few clouds
340,Salinopolis,BR,-0.6136,-47.3561,79.68,82,40,12.28,scattered clouds
341,Narsaq,GL,60.9167,-46.05,50.22,97,100,2.44,light rain
342,Ahipara,NZ,-35.1667,173.1667,58.86,86,67,11.5,broken clouds
343,Popondetta,PG,-8.7537,148.2534,81.84,71,17,1.28,few clouds
344,Mamakan,RU,57.8161,114.0028,68.0,74,48,1.28,scattered clouds
345,Belmonte,BR,-15.8631,-38.8828,73.9,72,49,8.79,scattered clouds
